date,title,event_type,counterparty,amount,source,url
2025-11-18,S&P Global Acquires Climate-Risk Data Firm 'Sustainalytics AI',Acquisition,Sustainalytics AI,$550 Million,Gemini,
2025-11-05,S&P Global Announces $2 Billion Accelerated Share Repurchase Program,Share Repurchase,Investment Bank(s),USD 2.0 billion,Gemini,
2025-10-22,S&P Global Announces Expanded Partnership with Palantir,Partnership,Palantir Technologies,Undisclosed,Gemini,
2025-10-16,S&P Global Acquires PrivaData Corp.,Acquisition,PrivaData Corp.,$720 Million,Gemini,
2025-09-25,S&P Global Divests its Engineering & Product Design Data Division to KKR,Divestiture,KKR & Co. Inc.,$780 Million,Gemini,
2025-09-16,S&P Global Acquires Climate Risk Modeling Firm 'ClimaScore Analytics',Acquisition,ClimaScore Analytics,$450 Million,Gemini,
2025-09-09,S&P Global and Google Cloud Announce Strategic Partnership for AI-Powered Analytics,Partnership,Google Cloud,Undisclosed,Gemini,
2025-08-21,S&P Global Acquires Private Market Data Firm 'Precentis',Acquisition,Precentis,$350 Million,Gemini,
2025-08-12,S&P Global Announces Strategic Partnership with Databricks for AI-Powered Analytics,Partnership,Databricks,Undisclosed,Gemini,
2025-08-05,S&P Global Board Authorizes $4 Billion Accelerated Share Repurchase Program,Buyback,N/A,$4 Billion,Gemini,
2025-07-24,S&P Global Announces $4 Billion Share Repurchase Program,Buyback,N/A,$4B,Gemini,
2025-07-16,S&P Global and Google Cloud Expand Partnership for Generative AI,Partnership,Google Cloud,Undisclosed,Gemini,
2025-07-09,S&P Global Acquires ClarityData Solutions for Private Market Intelligence,Acquisition,ClarityData Solutions,$620M,Gemini,
2025-06-19,S&P Global Acquires Climate Risk Analytics Firm ClimaScore,Acquisition,ClimaScore,$420M,Gemini,
2025-06-11,S&P Global Expands Partnership with Palantir,Partnership,Palantir Technologies,Undisclosed,Gemini,
2025-05-28,S&P Global Divests Engineering Solutions Business,Divestiture,Apex Partners,$975M,Gemini,
2025-05-21,S&P Global Expands Partnership with Snowflake,Partnership,Snowflake Inc.,Undisclosed,Gemini,
2025-05-14,S&P Global Acquires Climate-Risk Data Firm GeoClarity,Acquisition,GeoClarity,$380M,Gemini,
2025-04-22,S&P Global Commodity Insights Partners with Palantir,Partnership,Palantir Technologies,Undisclosed,Gemini,
2025-04-08,S&P Global Announces $1.2 Billion Senior Notes Offering,Debt Offering,Public Bondholders,$1.2 Billion,Gemini,
2025-03-27,S&P Global Announces Strategic Partnership with Databricks,Partnership,Databricks,Undisclosed,Gemini,
2025-03-18,S&P Global Acquires Climate Risk Analytics Firm 'ClimaScore',Acquisition,ClimaScore Inc.,$380 Million,Gemini,
2025-03-06,S&P Global Divests Engineering Solutions Unit to KKR,Divestiture,KKR & Co. Inc.,$975 Million,Gemini,
2025-02-24,S&P Global Partners with Snowflake to Launch Integrated Data Cloud Solution,Partnership,Snowflake Inc.,Undisclosed,Gemini,
2025-02-12,S&P Global Acquires Private Market Data Firm 'Preqin Data Solutions',Acquisition,Preqin Data Solutions,$975 Million,Gemini,
2025-02-06,S&P Global Announces $4 Billion Share Repurchase Program,Buyback,Public Shareholders,$4 Billion,Gemini,
2025-01-27,S&P Global Acquires Climate Risk Analytics Firm 'Climatra',Acquisition,Climatra,$380 Million,Gemini,
2025-01-15,S&P Global and Google Cloud Announce Strategic Partnership to Integrate Generative AI,Partnership,Google Cloud,Undisclosed,Gemini,
2024-05-29,Acquisition of Matterhorn,Acquisition,Matterhorn,Not Disclosed,Gemini,
2024-05-14,Senior Notes Offering,Debt Offering,Public Investors,USD 1.5 billion,Gemini,
2024-05-02,Acquisition of TruSight Solutions LLC,Acquisition,TruSight Solutions LLC,Not Disclosed,Gemini,
2024-04-25,Q1 2024 Share Repurchase,Share Repurchase,Public Market,USD 500 million,Gemini,
2024-02-13,Acquisition of Visible Alpha,Acquisition,Visible Alpha,Not Disclosed,Gemini,
2024-01-02,Divestiture of Engineering Solutions Business,Divestiture,KKR,USD 975 million,Gemini,
2023-11-06,Divestiture of Engineering Solutions Business,Divestiture,KKR & Co. Inc.,975000000,Gemini,
2023-11-02,Divestiture of Fincentric Business,Divestiture,ION Group,Undisclosed,Gemini,
2023-10-10,Acquisition of TruSight,Acquisition,"Consortium including Bank of America, BNY Mellon, JPMorgan Chase, and Wells Fargo",Undisclosed,Gemini,
2023-05-01,Senior Notes Offering,Debt Offering,"Underwriters including BofA Securities, Citigroup, Goldman Sachs & Co. LLC, J.P. Morgan, and Morgan Stanley",USD 1.5 billion,Gemini,
2023-02-28,Acquisition of Visible Alpha,Acquisition,"Consortium including Bank of America, Citi, Jefferies, Morgan Stanley, and Goldman Sachs",Not Disclosed,Gemini,
2023-02-28,Accelerated Share Repurchase Agreement,Share Repurchase,Goldman Sachs & Co. LLC,USD 2.0 billion,Gemini,
2022-08-01,Senior Notes Offering,Debt Offering,Public Investors,$3.0 billion,Gemini,
2022-07-01,Divestiture of Leveraged Commentary & Data (LCD),Divestiture,"Morningstar, Inc.",$650 million,Gemini,
2022-06-01,Divestiture of OPIS and other IHS Markit businesses,Divestiture,News Corp,1150000000,Gemini,
2022-06-01,Acquisition of Shades of Green,Acquisition,Center for International Climate Research (CICERO),Undisclosed,Gemini,
2022-05-18,Acquisition of Minery,Acquisition,Minery,Undisclosed,Gemini,
2022-03-02,Accelerated Share Repurchase Program,Share Repurchase,Various financial institutions,6500000000,Gemini,
2022-03-01,Divestiture of CUSIP Global Services,Divestiture,FactSet Research Systems Inc.,1925000000,Gemini,
2022-02-28,Completion of Merger with IHS Markit,Acquisition,IHS Markit,44000000000,Gemini,
2022-01-12,Acquisition of ChartIQ,Acquisition,ChartIQ,Undisclosed,Gemini,
2022-01-04,"Acquisition of The Climate Service, Inc.",Acquisition,"The Climate Service, Inc.",Undisclosed,Gemini,
2021-12-27,Divestiture of CUSIP Global Services,Divestiture,FactSet,$1.925 billion,Gemini,
2021-08-02,Divestiture of OPIS and related assets,Divestiture,News Corp,$1.15 billion,Gemini,
2021-05-26,Senior Notes Offering,Debt Offering,Public Debt Markets,$2.0 billion,Gemini,
2021-05-04,Acquisition of Green-e tracking business,Acquisition,Center for Resource Solutions (CRS),Undisclosed,Gemini,
2021-03-11,Shareholder Approval of IHS Markit Merger,M&A,IHS Markit,$44 billion (at announcement),Gemini,
2021-01-05,"Acquisition of The Climate Service, Inc.",Acquisition,"The Climate Service, Inc.",Undisclosed,Gemini,
